Production Line,Machine ID,Shift,Date,Units Produced,Defect Rate,Downtime Minutes
Line D,M-102,Morning,2023-11-17,265,1.21,61
Line D,M-105,Night,2023-11-17,457,2.3,61
Line A,M-104,Afternoon,2023-11-17,82,2.58,77
Line B,M-102,Night,2023-11-17,543,0.0,37
Line D,M-106,Morning,2023-11-17,341,0.68,19
Line B,M-100,Morning,2023-11-18,296,3.36,80
Line D,M-101,Night,2023-11-18,474,0.75,49
Line C,M-104,Morning,2023-11-18,395,1.1,27
Line D,M-105,Morning,2023-11-18,464,0.0,74
Line D,M-106,Night,2023-11-18,135,7.15,22
Line C,M-106,Morning,2023-11-18,478,1.79,73
Line D,M-101,Night,2023-11-19,238,0.0,2
Line D,M-104,Afternoon,2023-11-19,150,1.84,11
Line C,M-106,Afternoon,2023-11-19,508,1.85,34
Line C,M-106,Night,2023-11-19,153,3.18,15
Line A,M-101,Morning,2023-11-19,353,4.55,34
Line C,M-103,Afternoon,2023-11-19,107,0.91,13
Line A,M-100,Night,2023-11-20,99,3.52,24
Line B,M-106,Morning,2023-11-20,276,4.54,88
Line C,M-104,Afternoon,2023-11-20,109,0.0,49
Line B,M-101,Afternoon,2023-11-20,496,0.99,60
Line C,M-101,Morning,2023-11-20,249,0.04,41
Line C,M-104,Morning,2023-11-20,499,4.47,72
Line D,M-105,Night,2023-11-21,387,2.97,43
Line B,M-107,Night,2023-11-21,343,3.5,34
Line B,M-101,Morning,2023-11-21,540,2.06,34
Line C,M-107,Afternoon,2023-11-21,381,1.79,54
Line C,M-103,Morning,2023-11-21,171,4.31,67
Line C,M-106,Afternoon,2023-11-21,315,1.57,45
Line D,M-100,Morning,2023-11-22,594,1.74,22
Line B,M-105,Afternoon,2023-11-22,533,0.21,73
Line B,M-105,Night,2023-11-22,157,3.01,21
Line B,M-107,Morning,2023-11-22,323,3.49,64
Line D,M-106,Night,2023-11-22,125,5.54,47
Line D,M-104,Afternoon,2023-11-22,530,0.0,76
Line A,M-105,Night,2023-11-23,423,2.76,67
Line B,M-100,Night,2023-11-23,389,0.94,4
Line C,M-106,Afternoon,2023-11-23,447,0.49,3
Line A,M-103,Morning,2023-11-23,108,1.68,51
Line B,M-106,Morning,2023-11-23,492,2.89,79
Line B,M-106,Morning,2023-11-23,222,0.0,38
Line D,M-100,Morning,2023-11-24,118,2.61,53
Line C,M-106,Night,2023-11-24,457,3.96,52
Line B,M-100,Afternoon,2023-11-24,488,0.0,81
Line B,M-107,Morning,2023-11-24,309,4.03,47
Line D,M-106,Night,2023-11-24,557,0.81,81
Line B,M-105,Afternoon,2023-11-24,375,3.54,77
Line B,M-104,Night,2023-11-25,194,1.19,58
Line C,M-101,Night,2023-11-25,420,4.33,50
Line D,M-103,Morning,2023-11-25,293,2.13,10
Line C,M-106,Night,2023-11-25,371,3.98,73
Line A,M-101,Afternoon,2023-11-25,284,0.0,2
Line A,M-102,Morning,2023-11-25,398,1.4,4
Line D,M-105,Night,2023-11-26,309,4.6,17
Line C,M-104,Morning,2023-11-26,444,1.99,45
Line B,M-100,Morning,2023-11-26,123,4.38,0
Line B,M-106,Afternoon,2023-11-26,495,0.0,52
Line D,M-104,Afternoon,2023-11-26,220,0.0,24
Line D,M-106,Night,2023-11-26,548,1.16,76
Line A,M-105,Afternoon,2023-11-27,383,0.0,68
Line A,M-102,Night,2023-11-27,421,1.5,64
Line A,M-100,Morning,2023-11-27,85,0.0,72
Line C,M-104,Morning,2023-11-27,155,0.03,24
Line D,M-101,Morning,2023-11-27,126,4.2,51
Line C,M-107,Night,2023-11-27,338,2.7,56
Line A,M-102,Night,2023-11-28,415,0.0,45
Line B,M-107,Afternoon,2023-11-28,274,5.66,82
Line D,M-102,Afternoon,2023-11-28,461,0.67,50
Line A,M-102,Afternoon,2023-11-28,108,1.88,41
Line C,M-107,Afternoon,2023-11-28,497,2.28,42
Line C,M-105,Morning,2023-11-28,349,1.9,73
Line C,M-103,Night,2023-11-29,264,2.88,55
Line C,M-103,Afternoon,2023-11-29,200,3.45,32
Line B,M-102,Afternoon,2023-11-29,331,3.85,64
Line A,M-103,Morning,2023-11-29,524,1.9,39
Line D,M-101,Morning,2023-11-29,393,1.25,51
Line C,M-105,Night,2023-11-29,154,3.35,33
Line C,M-107,Morning,2023-11-30,225,3.05,9
Line B,M-107,Afternoon,2023-11-30,216,0.0,28
Line D,M-107,Night,2023-11-30,392,2.14,21
Line B,M-101,Afternoon,2023-11-30,380,2.36,48
Line D,M-104,Morning,2023-11-30,253,4.48,51
Line B,M-101,Night,2023-11-30,292,2.12,67
Line A,M-100,Morning,2023-12-01,427,0.0,65
Line D,M-102,Afternoon,2023-12-01,427,3.0,78
Line D,M-107,Afternoon,2023-12-01,498,1.54,79
Line C,M-102,Morning,2023-12-01,97,4.18,25
Line D,M-104,Morning,2023-12-01,485,0.56,16
Line B,M-101,Afternoon,2023-12-01,531,3.61,77
Line B,M-102,Morning,2023-12-02,343,3.36,75
Line C,M-101,Morning,2023-12-02,244,2.54,58
Line D,M-101,Morning,2023-12-02,430,4.69,61
Line B,M-106,Afternoon,2023-12-02,177,2.74,16
Line D,M-104,Night,2023-12-02,251,1.71,43
Line D,M-101,Morning,2023-12-02,315,1.04,65
Line A,M-103,Night,2023-12-03,173,3.97,86
Line D,M-106,Afternoon,2023-12-03,232,1.91,75
Line B,M-105,Afternoon,2023-12-03,434,1.87,89
Line A,M-103,Night,2023-12-03,172,3.76,74
Line B,M-106,Night,2023-12-03,534,2.56,87
Line B,M-102,Morning,2023-12-03,208,0.35,89
Line B,M-101,Morning,2023-12-04,369,0.53,46
Line A,M-107,Morning,2023-12-04,434,1.73,44
Line C,M-100,Night,2023-12-04,128,7.26,0
Line D,M-105,Afternoon,2023-12-04,255,4.39,40
Line C,M-104,Afternoon,2023-12-04,431,0.72,36
Line A,M-105,Morning,2023-12-04,375,5.17,89
Line D,M-105,Night,2023-12-05,292,1.2,66
Line A,M-105,Morning,2023-12-05,297,2.92,6
Line D,M-104,Afternoon,2023-12-05,495,0.1,20
Line B,M-106,Morning,2023-12-05,203,1.4,32
Line B,M-105,Afternoon,2023-12-05,257,1.06,23
Line A,M-105,Morning,2023-12-05,480,2.86,43
Line B,M-100,Morning,2023-12-06,533,1.49,43
Line B,M-105,Morning,2023-12-06,178,4.0,30
Line B,M-104,Afternoon,2023-12-06,131,3.16,31
Line A,M-106,Afternoon,2023-12-06,551,2.86,16
Line A,M-107,Afternoon,2023-12-06,589,0.15,39
Line C,M-106,Morning,2023-12-06,246,1.36,11
Line C,M-102,Morning,2023-12-07,117,1.8,71
Line C,M-107,Morning,2023-12-07,594,0.0,58
Line A,M-106,Afternoon,2023-12-07,93,0.59,56
Line C,M-104,Night,2023-12-07,358,0.88,80
Line B,M-102,Night,2023-12-07,504,3.37,40
Line D,M-101,Night,2023-12-07,589,3.73,65
Line C,M-101,Afternoon,2023-12-08,292,0.06,26
Line C,M-104,Afternoon,2023-12-08,430,0.89,54
Line C,M-107,Afternoon,2023-12-08,470,2.67,60
Line A,M-101,Night,2023-12-08,502,2.47,47
Line D,M-104,Afternoon,2023-12-08,101,0.0,9
Line B,M-106,Night,2023-12-08,488,1.14,85
Line C,M-101,Afternoon,2023-12-09,228,2.38,34
Line A,M-105,Afternoon,2023-12-09,371,0.82,81
Line B,M-105,Night,2023-12-09,560,1.15,14
Line C,M-105,Morning,2023-12-09,103,1.57,26
Line C,M-105,Afternoon,2023-12-09,310,3.81,15
Line B,M-103,Night,2023-12-09,368,1.67,58
Line C,M-100,Afternoon,2023-12-10,320,4.56,12
Line B,M-104,Afternoon,2023-12-10,575,2.02,20
Line A,M-107,Morning,2023-12-10,477,2.51,4
Line C,M-104,Morning,2023-12-10,406,3.22,21
Line B,M-101,Morning,2023-12-10,155,2.59,46
Line A,M-103,Afternoon,2023-12-10,307,5.46,19
Line B,M-106,Night,2023-12-11,309,6.49,8
Line A,M-107,Night,2023-12-11,489,2.4,74
Line A,M-100,Night,2023-12-11,489,3.19,59
Line C,M-104,Afternoon,2023-12-11,198,5.16,44
Line C,M-105,Morning,2023-12-11,193,3.48,69
Line A,M-106,Night,2023-12-11,547,3.22,72
Line B,M-102,Morning,2023-12-12,337,4.72,54
Line C,M-103,Afternoon,2023-12-12,331,2.48,10
Line C,M-101,Night,2023-12-12,473,2.33,15
Line A,M-106,Afternoon,2023-12-12,562,4.39,75
Line A,M-106,Afternoon,2023-12-12,546,1.01,35
Line B,M-107,Morning,2023-12-12,462,0.84,47
Line B,M-103,Morning,2023-12-13,554,0.09,43
Line A,M-101,Afternoon,2023-12-13,570,2.32,48
Line D,M-105,Afternoon,2023-12-13,364,2.21,67
Line D,M-104,Night,2023-12-13,282,2.41,0
Line A,M-105,Afternoon,2023-12-13,380,4.01,19
Line A,M-102,Night,2023-12-13,98,2.81,60
Line A,M-107,Morning,2023-12-14,523,3.03,85
Line C,M-103,Afternoon,2023-12-14,174,3.48,14
Line A,M-103,Afternoon,2023-12-14,238,3.18,79
Line B,M-107,Afternoon,2023-12-14,267,0.93,32
Line C,M-101,Night,2023-12-14,383,1.75,37
Line A,M-103,Night,2023-12-14,348,1.43,67
Line C,M-103,Night,2023-12-15,431,4.05,14
Line A,M-106,Morning,2023-12-15,304,2.98,89
Line C,M-100,Morning,2023-12-15,380,2.25,12
Line D,M-102,Morning,2023-12-15,485,1.01,34
Line B,M-106,Night,2023-12-15,309,1.97,44
Line C,M-102,Afternoon,2023-12-15,286,1.82,44
Line C,M-101,Morning,2023-12-16,585,0.58,66
Line C,M-105,Morning,2023-12-16,464,2.48,75
Line A,M-100,Afternoon,2023-12-16,539,3.67,58
Line C,M-104,Morning,2023-12-16,434,4.11,65
Line B,M-101,Night,2023-12-16,317,2.03,2
Line D,M-103,Night,2023-12-16,276,3.91,63
Line A,M-100,Afternoon,2023-12-17,176,1.66,74
Line B,M-105,Afternoon,2023-12-17,199,3.27,53
Line D,M-106,Night,2023-12-17,91,1.07,5
Line B,M-100,Morning,2023-12-17,593,3.69,56
Line C,M-104,Afternoon,2023-12-17,301,2.92,12
Line A,M-103,Morning,2023-12-17,515,0.22,41
Line A,M-101,Morning,2023-12-18,85,2.05,11
Line B,M-100,Afternoon,2023-12-18,412,1.59,25
Line C,M-102,Afternoon,2023-12-18,368,3.21,44
Line B,M-103,Afternoon,2023-12-18,203,1.97,23
Line B,M-101,Morning,2023-12-18,257,2.81,26
Line D,M-101,Morning,2023-12-18,554,3.25,86
Line D,M-103,Afternoon,2023-12-19,232,2.59,74
Line B,M-100,Morning,2023-12-19,358,0.67,54
Line A,M-100,Afternoon,2023-12-19,428,0.0,38
Line A,M-102,Afternoon,2023-12-19,450,4.78,35
Line B,M-103,Morning,2023-12-19,422,2.33,83
Line B,M-101,Morning,2023-12-19,357,0.0,78
Line B,M-101,Morning,2023-12-20,96,2.72,36
Line C,M-100,Afternoon,2023-12-20,333,5.33,48
Line C,M-101,Morning,2023-12-20,563,2.4,36
Line A,M-103,Morning,2023-12-20,521,0.67,28
Line A,M-103,Afternoon,2023-12-20,279,0.49,36
Line A,M-106,Afternoon,2023-12-20,364,5.2,40
Line C,M-100,Afternoon,2023-12-21,546,2.71,2
Line B,M-101,Morning,2023-12-21,502,6.72,18
Line A,M-106,Night,2023-12-21,173,3.57,66
Line C,M-107,Morning,2023-12-21,199,2.16,78
Line C,M-103,Morning,2023-12-21,168,3.15,89
Line B,M-105,Night,2023-12-21,202,0.0,0
Line B,M-102,Afternoon,2023-12-22,438,2.97,13
Line A,M-105,Morning,2023-12-22,390,2.33,7
Line C,M-101,Afternoon,2023-12-22,216,4.2,15
Line D,M-105,Night,2023-12-22,527,0.38,46
Line B,M-102,Morning,2023-12-22,551,1.91,23
Line A,M-107,Afternoon,2023-12-22,392,4.63,2
Line A,M-107,Morning,2023-12-23,141,0.0,40
Line A,M-101,Night,2023-12-23,389,0.0,67
Line B,M-102,Afternoon,2023-12-23,146,1.36,63
Line A,M-104,Afternoon,2023-12-23,197,2.87,3
Line C,M-107,Morning,2023-12-23,336,1.13,4
Line A,M-104,Morning,2023-12-23,148,6.06,48
Line B,M-105,Afternoon,2023-12-24,230,3.74,77
Line C,M-101,Night,2023-12-24,151,1.29,64
Line D,M-104,Afternoon,2023-12-24,188,3.67,45
Line B,M-100,Morning,2023-12-24,122,3.84,5
Line B,M-101,Night,2023-12-24,468,0.89,9
Line A,M-107,Afternoon,2023-12-24,549,4.68,37
Line B,M-105,Night,2023-12-25,151,2.81,15
Line B,M-102,Afternoon,2023-12-25,93,2.89,59
Line B,M-102,Afternoon,2023-12-25,151,1.23,67
Line C,M-102,Afternoon,2023-12-25,300,3.53,31
Line B,M-105,Night,2023-12-25,573,2.51,44
Line B,M-103,Morning,2023-12-25,380,3.97,77
Line C,M-101,Night,2023-12-26,190,1.46,57
Line C,M-103,Night,2023-12-26,201,1.2,12
Line A,M-102,Morning,2023-12-26,525,0.0,67
Line C,M-101,Morning,2023-12-26,542,0.0,38
Line C,M-103,Morning,2023-12-26,285,2.29,57
Line C,M-103,Morning,2023-12-26,324,0.81,72
Line B,M-100,Morning,2023-12-27,369,1.1,22
Line B,M-106,Afternoon,2023-12-27,327,1.61,4
Line B,M-102,Afternoon,2023-12-27,379,1.74,1
Line D,M-102,Afternoon,2023-12-27,574,1.88,88
Line A,M-104,Night,2023-12-27,291,0.73,27
Line B,M-102,Morning,2023-12-27,83,0.39,5
Line A,M-106,Afternoon,2023-12-28,297,0.84,46
Line D,M-101,Night,2023-12-28,445,2.46,18
Line B,M-104,Afternoon,2023-12-28,422,4.53,43
Line B,M-105,Afternoon,2023-12-28,353,2.76,27
Line B,M-104,Afternoon,2023-12-28,578,1.23,47
Line A,M-101,Night,2023-12-28,357,0.62,3
Line A,M-107,Morning,2023-12-29,489,1.34,21
Line A,M-105,Morning,2023-12-29,186,2.52,15
Line B,M-103,Afternoon,2023-12-29,404,1.68,68
Line A,M-107,Morning,2023-12-29,287,3.3,41
Line A,M-107,Morning,2023-12-29,358,1.62,21
Line D,M-106,Morning,2023-12-29,503,3.32,13
Line A,M-106,Afternoon,2023-12-30,396,5.31,13
Line B,M-107,Morning,2023-12-30,570,1.08,16
Line B,M-106,Morning,2023-12-30,130,1.6,75
Line D,M-107,Night,2023-12-30,517,4.71,68
Line C,M-105,Afternoon,2023-12-30,144,3.35,85
Line D,M-101,Morning,2023-12-30,585,2.53,28
Line A,M-102,Afternoon,2023-12-31,300,5.51,10
Line A,M-106,Morning,2023-12-31,553,2.71,10
Line B,M-106,Morning,2023-12-31,224,2.88,47
Line B,M-103,Night,2023-12-31,98,1.98,21
Line B,M-106,Morning,2023-12-31,212,2.35,81
Line C,M-107,Night,2023-12-31,184,6.69,57
Line B,M-107,Night,2024-01-01,357,4.13,25
Line B,M-105,Night,2024-01-01,420,2.64,32
Line D,M-100,Night,2024-01-01,581,2.73,23
Line B,M-101,Afternoon,2024-01-01,424,3.84,46
Line B,M-100,Afternoon,2024-01-01,326,4.45,38
Line B,M-103,Afternoon,2024-01-01,371,4.48,6
Line C,M-101,Night,2024-01-02,504,3.8,53
Line D,M-106,Night,2024-01-02,458,2.6,10
Line B,M-107,Morning,2024-01-02,450,1.51,4
Line A,M-106,Afternoon,2024-01-02,452,2.04,73
Line A,M-105,Afternoon,2024-01-02,427,3.85,39
Line B,M-100,Afternoon,2024-01-02,342,2.46,89
Line B,M-106,Night,2024-01-03,352,3.61,19
Line B,M-102,Afternoon,2024-01-03,348,2.07,53
Line B,M-100,Afternoon,2024-01-03,241,0.35,85
Line B,M-104,Morning,2024-01-03,179,1.19,19
Line C,M-103,Morning,2024-01-03,415,2.38,8
Line C,M-101,Night,2024-01-03,155,0.0,48
Line C,M-104,Afternoon,2024-01-04,154,4.15,7
Line C,M-105,Morning,2024-01-04,258,3.74,30
Line A,M-106,Afternoon,2024-01-04,193,6.06,26
Line A,M-105,Morning,2024-01-04,175,1.26,7
Line B,M-100,Night,2024-01-04,525,2.07,73
Line B,M-105,Morning,2024-01-04,403,1.97,83
Line B,M-102,Afternoon,2024-01-05,191,3.28,86
Line A,M-106,Morning,2024-01-05,283,2.82,11
Line C,M-103,Afternoon,2024-01-05,353,3.13,63
Line B,M-101,Morning,2024-01-05,534,1.11,0
Line A,M-105,Afternoon,2024-01-05,146,0.94,78
Line A,M-102,Afternoon,2024-01-05,546,2.18,67
Line D,M-107,Night,2024-01-06,478,0.16,2
Line C,M-107,Afternoon,2024-01-06,108,0.7,47
Line C,M-106,Afternoon,2024-01-06,328,4.14,20
Line C,M-105,Afternoon,2024-01-06,151,2.44,31
Line A,M-103,Afternoon,2024-01-06,350,3.71,12
Line C,M-103,Morning,2024-01-06,543,3.76,56
Line C,M-106,Night,2024-01-07,519,2.95,25
Line C,M-101,Night,2024-01-07,113,6.14,88
Line B,M-106,Night,2024-01-07,132,5.86,50
Line B,M-102,Morning,2024-01-07,487,0.39,0
Line A,M-102,Night,2024-01-07,588,0.55,29
Line A,M-102,Afternoon,2024-01-07,292,2.74,58
Line A,M-103,Night,2024-01-08,564,2.52,56
Line A,M-105,Morning,2024-01-08,91,4.18,14
Line D,M-105,Afternoon,2024-01-08,293,1.51,67
Line B,M-105,Morning,2024-01-08,240,0.27,59
Line B,M-104,Afternoon,2024-01-08,344,1.57,64
Line B,M-105,Afternoon,2024-01-08,294,3.96,29
Line B,M-103,Afternoon,2024-01-09,502,2.69,78
Line C,M-101,Afternoon,2024-01-09,177,3.55,10
Line A,M-104,Night,2024-01-09,185,1.21,69
Line A,M-100,Afternoon,2024-01-09,98,2.61,82
Line D,M-104,Night,2024-01-09,472,3.42,24
Line A,M-104,Night,2024-01-09,121,5.24,36
Line C,M-104,Afternoon,2024-01-10,202,2.48,30
Line B,M-106,Morning,2024-01-10,269,0.35,21
Line A,M-104,Afternoon,2024-01-10,482,2.93,89
Line C,M-104,Afternoon,2024-01-10,388,4.82,24
Line B,M-107,Morning,2024-01-10,278,3.73,59
Line B,M-104,Night,2024-01-10,337,1.58,24
Line D,M-100,Afternoon,2024-01-11,550,3.33,64
Line A,M-101,Night,2024-01-11,228,2.31,24
Line A,M-102,Night,2024-01-11,248,2.45,4
Line B,M-106,Morning,2024-01-11,524,1.2,58
Line B,M-105,Night,2024-01-11,148,2.3,18
Line B,M-105,Morning,2024-01-11,364,0.67,0
Line D,M-107,Afternoon,2024-01-12,253,1.76,19
Line A,M-101,Morning,2024-01-12,247,2.17,53
Line B,M-102,Morning,2024-01-12,356,3.54,68
Line C,M-105,Afternoon,2024-01-12,125,3.09,36
Line B,M-106,Afternoon,2024-01-12,246,3.43,51
Line C,M-106,Night,2024-01-12,398,2.87,48
Line B,M-107,Morning,2024-01-13,122,3.88,12
Line A,M-101,Night,2024-01-13,409,3.87,25
Line C,M-101,Afternoon,2024-01-13,232,4.15,76
Line A,M-105,Night,2024-01-13,452,1.11,47
Line B,M-105,Afternoon,2024-01-13,123,0.01,58
Line A,M-105,Afternoon,2024-01-13,338,2.75,56
Line D,M-103,Night,2024-01-14,294,4.21,56
Line C,M-106,Afternoon,2024-01-14,357,2.4,4
Line A,M-104,Night,2024-01-14,114,2.18,55
Line A,M-102,Morning,2024-01-14,322,1.87,15
Line D,M-101,Afternoon,2024-01-14,385,2.12,69
Line C,M-106,Morning,2024-01-14,437,1.12,34
Line B,M-100,Afternoon,2024-01-15,121,3.46,48
Line B,M-100,Morning,2024-01-15,134,2.34,82
Line C,M-103,Afternoon,2024-01-15,160,3.35,19
Line C,M-105,Night,2024-01-15,275,0.0,37
Line A,M-106,Morning,2024-01-15,355,1.55,55
Line C,M-105,Afternoon,2024-01-15,165,3.03,55
Line A,M-100,Morning,2024-01-16,217,2.76,7
Line B,M-100,Morning,2024-01-16,367,3.71,28
Line A,M-102,Morning,2024-01-16,201,2.66,56
Line A,M-101,Morning,2024-01-16,191,4.2,8
Line B,M-101,Afternoon,2024-01-16,214,0.0,12
Line A,M-102,Afternoon,2024-01-16,362,1.49,87
Line C,M-101,Night,2024-01-17,596,2.22,22
Line B,M-100,Morning,2024-01-17,123,3.73,33
Line B,M-104,Afternoon,2024-01-17,266,3.73,17
Line B,M-107,Morning,2024-01-17,298,1.08,7
Line B,M-104,Afternoon,2024-01-17,500,4.39,59
Line C,M-107,Morning,2024-01-17,246,0.96,9
Line D,M-101,Afternoon,2024-01-18,208,5.18,64
Line A,M-101,Afternoon,2024-01-18,239,2.73,62
Line B,M-105,Afternoon,2024-01-18,230,2.87,62
Line D,M-104,Morning,2024-01-18,568,3.16,67
Line B,M-107,Afternoon,2024-01-18,519,1.96,32
Line B,M-107,Night,2024-01-18,372,0.37,79
Line C,M-104,Morning,2024-01-19,430,5.13,2
Line A,M-102,Night,2024-01-19,98,0.36,15
Line A,M-100,Afternoon,2024-01-19,216,3.18,6
Line C,M-102,Afternoon,2024-01-19,406,2.27,73
Line B,M-106,Morning,2024-01-19,441,0.0,63
Line C,M-100,Afternoon,2024-01-19,332,0.0,70
Line D,M-104,Afternoon,2024-01-20,241,0.82,30
Line B,M-107,Morning,2024-01-20,534,5.01,67
Line C,M-104,Afternoon,2024-01-20,523,2.57,73
Line A,M-100,Morning,2024-01-20,357,0.85,80
Line A,M-100,Afternoon,2024-01-20,461,0.0,15
Line D,M-103,Afternoon,2024-01-20,454,6.72,7
Line A,M-105,Morning,2024-01-21,128,3.87,35
Line A,M-107,Night,2024-01-21,392,2.1,47
Line B,M-101,Morning,2024-01-21,86,3.14,4
Line C,M-100,Afternoon,2024-01-21,458,1.47,80
Line A,M-100,Morning,2024-01-21,164,4.82,85
Line B,M-102,Night,2024-01-21,364,5.52,30
Line D,M-106,Morning,2024-01-22,85,3.92,28
Line D,M-101,Afternoon,2024-01-22,363,5.02,16
Line D,M-101,Afternoon,2024-01-22,247,2.63,67
Line D,M-105,Morning,2024-01-22,469,1.75,86
Line A,M-105,Night,2024-01-22,345,1.74,47
Line A,M-100,Afternoon,2024-01-22,437,0.0,45
Line D,M-100,Morning,2024-01-23,324,2.9,21
Line A,M-102,Afternoon,2024-01-23,472,5.58,45
Line C,M-102,Night,2024-01-23,247,3.62,63
Line B,M-104,Morning,2024-01-23,282,3.78,42
Line B,M-102,Afternoon,2024-01-23,432,0.0,23
Line C,M-102,Afternoon,2024-01-23,204,0.0,2
Line D,M-105,Afternoon,2024-01-24,487,0.62,86
Line B,M-102,Afternoon,2024-01-24,187,2.25,42
Line A,M-105,Night,2024-01-24,265,0.0,66
Line C,M-100,Morning,2024-01-24,591,2.8,50
Line A,M-103,Afternoon,2024-01-24,464,2.11,71
Line B,M-105,Morning,2024-01-24,490,1.46,60
Line B,M-103,Night,2024-01-25,275,4.31,85
Line A,M-104,Morning,2024-01-25,365,2.06,78
Line A,M-102,Morning,2024-01-25,442,0.0,83
Line C,M-101,Afternoon,2024-01-25,449,2.58,13
Line A,M-101,Morning,2024-01-25,556,2.62,52
Line D,M-104,Morning,2024-01-25,183,2.29,62
Line B,M-107,Night,2024-01-26,568,3.13,5
Line D,M-100,Morning,2024-01-26,232,3.12,86
Line A,M-106,Night,2024-01-26,185,1.96,4
Line D,M-103,Night,2024-01-26,120,5.08,58
Line A,M-104,Night,2024-01-26,545,2.88,40
Line B,M-104,Night,2024-01-26,201,5.06,1
Line B,M-101,Morning,2024-01-27,108,0.0,13
Line D,M-105,Morning,2024-01-27,202,4.14,4
Line A,M-100,Morning,2024-01-27,304,5.89,5
Line B,M-104,Night,2024-01-27,398,2.66,10
Line A,M-107,Afternoon,2024-01-27,561,5.31,41
Line D,M-102,Night,2024-01-27,559,3.28,70
Line B,M-104,Afternoon,2024-01-28,252,3.41,16
Line C,M-102,Morning,2024-01-28,557,1.39,75
Line B,M-102,Morning,2024-01-28,176,1.14,81
Line B,M-100,Night,2024-01-28,134,6.32,17
Line C,M-107,Afternoon,2024-01-28,176,3.22,65
Line B,M-102,Night,2024-01-28,117,1.03,3
Line D,M-107,Night,2024-01-29,451,2.97,74
Line D,M-100,Afternoon,2024-01-29,336,3.56,25
Line A,M-101,Afternoon,2024-01-29,368,2.09,82
Line A,M-107,Morning,2024-01-29,472,2.32,61
Line C,M-101,Afternoon,2024-01-29,186,2.06,32
Line C,M-102,Afternoon,2024-01-29,270,2.23,62
Line B,M-100,Morning,2024-01-30,390,0.0,72
Line B,M-106,Night,2024-01-30,88,1.45,7
Line A,M-106,Night,2024-01-30,183,1.86,25
Line A,M-100,Afternoon,2024-01-30,391,3.0,16
Line D,M-101,Night,2024-01-30,457,0.0,57
Line A,M-107,Afternoon,2024-01-30,577,1.45,83
Line C,M-106,Afternoon,2024-01-31,95,1.57,16
Line D,M-106,Night,2024-01-31,577,1.81,22
Line C,M-104,Afternoon,2024-01-31,127,3.05,72
Line A,M-104,Night,2024-01-31,122,0.27,54
Line A,M-100,Night,2024-01-31,101,2.6,29
Line C,M-105,Morning,2024-01-31,150,3.67,84
Line A,M-104,Night,2024-02-01,451,2.35,37
Line A,M-101,Morning,2024-02-01,267,0.92,54
Line A,M-106,Afternoon,2024-02-01,85,1.87,40
Line A,M-103,Afternoon,2024-02-01,321,0.0,13
Line C,M-102,Night,2024-02-01,357,1.93,85
Line A,M-102,Morning,2024-02-01,520,1.24,81
Line C,M-101,Morning,2024-02-02,560,1.29,15
Line A,M-100,Night,2024-02-02,167,2.0,75
Line A,M-104,Afternoon,2024-02-02,430,1.78,9
Line C,M-100,Morning,2024-02-02,590,3.19,40
Line C,M-103,Morning,2024-02-02,381,0.52,17
Line A,M-105,Night,2024-02-02,209,2.64,88
Line D,M-107,Night,2024-02-03,469,2.51,13
Line D,M-107,Night,2024-02-03,579,2.11,65
Line B,M-107,Morning,2024-02-03,543,3.0,61
Line A,M-102,Night,2024-02-03,307,4.78,64
Line C,M-100,Afternoon,2024-02-03,357,3.5,32
Line B,M-104,Morning,2024-02-03,151,0.29,25
Line B,M-101,Night,2024-02-04,116,0.29,82
Line B,M-104,Morning,2024-02-04,104,6.24,68
Line D,M-101,Night,2024-02-04,110,1.58,22
Line C,M-104,Afternoon,2024-02-04,513,7.38,24
Line B,M-105,Night,2024-02-04,462,2.12,30
Line A,M-100,Afternoon,2024-02-04,146,2.74,85
Line C,M-101,Afternoon,2024-02-05,581,3.9,4
Line B,M-105,Night,2024-02-05,380,3.28,87
Line A,M-106,Morning,2024-02-05,304,1.8,17
Line B,M-107,Night,2024-02-05,335,0.87,41
Line D,M-101,Morning,2024-02-05,130,1.92,16
Line C,M-105,Night,2024-02-05,175,2.77,3
